NGA,PolID,"Date (negative=years BCE, positive = years CE)",MoralisingGods,DoctrinalMode,Mean social complexity,95% confidence interval lower bound,95% confidence interval upper bound,Polity start date,Polity end date
Deccan,InDecNL,-2700,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2600,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2500,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2400,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2300,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2200,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2100,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-2000,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1900,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1800,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1700,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1600,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1500,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1400,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecNL,-1300,NA,1,0.193547306,0.150371227,0.236723386,-2700,-1201
Deccan,InDecIA,-1200,NA,NA,0.196671877,0.178245835,0.215097919,-1200,-301
Deccan,InDecIA,-1100,NA,NA,0.196671877,0.178245835,0.215097919,-1200,-301
Deccan,InDecIA,-1000,NA,NA,0.196671877,0.178245835,0.215097919,-1200,-301
Deccan,InDecIA,-900,NA,NA,0.268854731,0.240221472,0.297487989,-1200,-301
Deccan,InDecIA,-800,NA,NA,0.268854731,0.240221472,0.297487989,-1200,-301
Deccan,InDecIA,-700,NA,NA,0.268854731,0.240221472,0.297487989,-1200,-301
Deccan,InDecIA,-600,NA,NA,0.268854731,0.240221472,0.297487989,-1200,-301
Deccan,InDecIA,-500,NA,NA,0.311228287,0.282644197,0.339812376,-1200,-301
Deccan,InDecIA,-400,NA,NA,0.311228287,0.282644197,0.339812376,-1200,-301
Deccan,InMaury,-300,1,1,0.894850865,0.869319598,0.920382132,-300,-206
Deccan,InDecKg,-200,NA,NA,0.311228287,0.282644197,0.339812376,-205,-101
Deccan,InSataL,-100,1,1,0.768615433,0.764136049,0.773094817,-100,203
Deccan,InSataL,0,1,1,0.769021705,0.764798666,0.773244743,-100,203
Deccan,InSataL,100,1,1,0.769862766,0.765540899,0.774184633,-100,203
