"","NGA","PolID","OriginalNGA","Time","PropCoded","PolPop","PolTerr","CapPop","levels","government","infrastr","writing","texts","money","irep","FreqLR","ConformityLR","FreqWR","ConformityWR","FreqFR","ConformityFR","FreqER","ConformityER","FreqDR","ConformityDR","MHG","BSP","WrittenRecords","ReligiousHier","GeneralMoralisticPunishment","MoralisingHighGods","MoralisingGods","DoctrinalMode","Writing","Mean","Lower","Upper","PolName","Start","End","World.Region","Complexity","Dupl","Language","Genus","Family","Latitude","Longitude","City"
"1","Big Island Hawaii","Hawaii1","Big Island Hawaii",1000,76.5,1.9588231380264,4.31281930399155,2.2267289522978,1.37669332464106,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.230299442244713,0.14942896588176,0.311169918607666,"Hawaii1",1000,1199,"Oceania-Australia","Early","n","Old Hawaiian ","Oceanic","Austronesian",19.53,-155.92,"Kona"
"2","Big Island Hawaii","Hawaii1","Big Island Hawaii",1100,76.5,1.9588231380264,4.31281930399155,2.2267289522978,1.37669332464106,0.0909090909090909,0.1,0.1,0.1,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,0,0.230299442244713,0.14942896588176,0.311169918607666,"Hawaii1",1000,1199,"Oceania-Australia","Early","n","Old Hawaiian ","Oceanic","Austronesian",19.53,-155.92,"Kona"
"3","Big Island Hawaii","Hawaii2","Big Island Hawaii",1200,86.3,3.55841568298795,3.43280412244278,4.22186185998198,1.47360703361892,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.219507625391463,0.164812456490496,0.274202794292431,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"4","Big Island Hawaii","Hawaii2","Big Island Hawaii",1300,86.3,3.94843375030087,3.43280412244278,2.22662186185844,1.22435821943413,0.0909090909090909,0.0909090909090909,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.23821856364326,0.200019563994902,0.276417563291618,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"5","Big Island Hawaii","Hawaii2","Big Island Hawaii",1400,86.3,4.25884319014261,3.43280412244278,1.99862640870266,1.07477948697078,0.0909090909090909,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.25695182458153,0.211358488415073,0.302545160747986,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"6","Big Island Hawaii","Hawaii2","Big Island Hawaii",1500,86.3,4.39270193038789,3.43280412244278,3.33725449247099,2.4364413910652,0.172727272727273,0.181818181818182,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.281214357700308,0.236430402211275,0.325998313189341,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"7","Big Island Hawaii","Hawaii2","Big Island Hawaii",1600,80.4,3.94668010058519,3.43280412244278,3.62068995348726,3.00781436677948,0.09,0.1,0.15,0,1.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0.225726240774212,0.158884862007352,0.292567619541071,"Hawaii2",1200,1649,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"8","Big Island Hawaii","Hawaii3","Big Island Hawaii",1700,94.1,4.86389198129848,3.94687979031908,1.95089384893744,2.73363575322472,0.227272727272727,0.245454545454545,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,0,2,NA,NA,NA,1,0,0.347161424065631,0.286340126603804,0.407982721527458,"Hawaii3",1650,1777,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"9","Big Island Hawaii","USKameh","Big Island Hawaii",1800,92.2,5.11846776331904,4.18664501266402,4.36583027132078,2.83053415737578,0.35,0.263636363636364,0.166666666666667,0,1.8,1,2,NA,6,NA,NA,NA,2,NA,NA,NA,2,0.9,0,2,1,0,1,1,0,0.366960214615479,0.341973454447404,0.391946974783555,"USKameh",1778,1819,"Oceania-Australia","Early","n","Hawaiian","Oceanic","Austronesian",19.53,-155.92,"Kona"
"10","Cahokia","USMisEW","Cahokia",-600,88.2,1.61540397530715,1.58851480587834,1.58076767946031,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0347611837395321,0.011822282433948,0.0577000850451163,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"11","Cahokia","USMisEW","Cahokia",-500,88.2,1.61540397530715,1.58851480587834,1.58076767946031,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0347611837395321,0.011822282433948,0.0577000850451163,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
"12","Cahokia","USMisEW","Cahokia",-400,88.2,1.61540397530715,1.58851480587834,1.58076767946031,1,0,0.0833333333333333,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,0.0347611837395321,0.011822282433948,0.0577000850451163,"USMisEW",-600,-151,"NorthAmerica","Medium","n","USMisEW","USMisEW","USMisEW",38.66,-90.06,"St. Louis"
